album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_l95_rank,Primary Genre
Symphony-X-The-Divine-Wings-of-Tragedy,2,2,1,106,0.018867924528301886,0.0018059678032357508,361,Progressive Metal
Death-Angel-The-Ultra-Violence,2,2,1,109,0.01834862385321101,0.0017442683595179122,362,Thrash Metal
Mr.-Bungle-California,4,4,1,763,0.005242463958060288,0.0017319817398114192,363,Experimental
Porcupine-Tree-Fear-of-a-Blank-Planet,4,4,1,787,0.005082592121982211,0.0016787393499469293,364,Progressive Rock
Mayhem-Live-in-Leipzig,2,2,1,114,0.017543859649122806,0.0016499458701816662,365,Black Metal
Kayo-Dot-Hubardo,5,5,1,1213,0.004122011541632316,0.0016213924084972683,366,Experimental
Amenra-Mass-V,3,3,1,442,0.006787330316742082,0.0016184497685530885,367,Post Metal
Helmet-Betty,2,2,1,134,0.014925373134328358,0.0013540158843471893,368,Post Hardcore
Integrity-Those-Who-Fear-Tomorrow,3,3,1,534,0.0056179775280898875,0.0013346997340044995,369,Hardcore
Diablo-Swing-Orchestra-Pandoras-Pinata,2,2,1,142,0.014084507042253521,0.0012625758770212978,370,Metal
Symphony-X-V-The-New-Mythology-Suite,2,2,1,144,0.013888888888888888,0.0012415555517443187,371,Progressive Metal
Deftones-Diamond-Eyes,15,15,1,7789,0.0019257927846963667,0.001207444952280594,372,Metal
Fear-Before-The-Always-Open-Mouth,4,4,1,1106,0.003616636528028933,0.0011917707755920237,373,Post Hardcore
Dir-En-Grey-Dum-Spiro-Spero,3,3,1,615,0.004878048780487805,0.0011562019866986177,374,Progressive Metal
Exodus-Bonded-by-Blood,2,2,1,155,0.012903225806451613,0.0011370943793347597,375,Thrash Metal
Anathema-Were-Here-Because-Were-Here,4,4,1,1400,0.002857142857142857,9.403605434530134e-4,376,Progressive Rock
Earth-Earth-2,2,2,1,183,0.01092896174863388,9.352060358725888e-4,377,Drone
Blind-Guardian-Nightfall-in-Middle-Earth,2,2,1,198,0.010101010101010102,8.534786196683995e-4,378,Power Metal
Pig-Destroyer-Phantom-Limb,2,2,1,224,0.008928571428571428,7.407419126684005e-4,379,Grind
SikTh-Death-of-a-Dead-Day,3,3,1,999,0.003003003003003003,7.075362937212161e-4,380,Progressive Metal
Nightwish-Oceanborn,2,2,1,235,0.00851063829787234,7.014082778792428e-4,381,Power Metal
Eyehategod-Take-as-Needed-for-Pain,2,2,1,237,0.008438818565400843,6.94694283860188e-4,382,Sludge Metal
Deftones-Koi-No-Yokan,6,6,1,4760,0.0012605042016806723,5.540063094440609e-4,383,Metal
maudlin-of-the-Well-Bath,2,2,1,305,0.006557377049180328,5.235651512041587e-4,384,Experimental
Boris-Pink,2,2,1,315,0.006349206349206349,5.051960893903956e-4,385,Drone
Nocturnus-The-Key,2,2,1,341,0.005865102639296188,4.629164875815592e-4,386,Death Metal
