album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_comment_user,avg_date,m_over_xM,m_over_xM_rank,Primary Genre
Darkthrone-A-Blaze-in-the-Northern-Sky,77,64,1.203125,1426,0.05399719495091164,0.044703170364528436,0.027895090785336203,2015-06-10,37.22160054011057,12,Black Metal
Adramelech-Psychostasia,59,42,1.4047619047619047,520,0.11346153846153846,0.0919302720438458,0.042179051790855855,2014-07-20,37.06689306875495,13,Death Metal
Meshuggah-Destroy-Erase-Improve,49,30,1.6333333333333333,559,0.08765652951699464,0.06929538789157731,0.030114095503002456,2016-09-28,32.16622061382163,14,Progressive Metal
Carcass-Heartwork,65,57,1.1403508771929824,1500,0.043333333333333335,0.03521805318990549,0.022253120130258805,2012-09-08,31.620319804611796,15,Melodic Death Metal
Gorguts-The-Erosion-of-Sanity,67,43,1.558139534883721,1083,0.061865189289012,0.05053740741752771,0.03341826399612134,2014-10-22,30.808020092200586,16,Death Metal
Bathory-Under-the-Sign-of-the-Black-Mark,54,38,1.4210526315789473,699,0.07725321888412018,0.06171396508355989,0.03364645516329736,2014-08-07,30.481127840855148,17,Black Metal
Coroner-Mental-Vortex,72,64,1.125,1305,0.05517241379310345,0.045376423149188994,0.03225128833410235,2014-11-20,29.912068723996427,18,Thrash Metal
Gorguts-Obscura,125,103,1.2135922330097086,3321,0.037639265281541705,0.03245141778782445,0.028970271283577383,2015-05-03,28.789729067239513,19,Death Metal
Slayer-Reign-in-Blood,86,62,1.3870967741935485,1680,0.05119047619047619,0.04281663723887503,0.0349210659516999,2015-04-23,27.332609201144166,20,Thrash Metal
Obliteration-Black-Death-Horizon,75,59,1.271186440677966,1776,0.04222972972972973,0.034831481602869335,0.02695617522532918,2014-11-17,27.12583279981537,21,Death Metal
Gorguts-From-Wisdom-to-Hate,56,48,1.1666666666666667,655,0.08549618320610687,0.06865215075698644,0.04415120758529043,2016-11-05,27.080959031634766,22,Death Metal
Diamond-Head-Lightning-to-the-Nations,48,45,1.0666666666666667,755,0.06357615894039735,0.04998340126463854,0.0282638799279953,2013-05-31,26.66077065436355,23,Heavy Metal
Megadeth-Rust-in-Peace,204,171,1.1929824561403508,7117,0.028663762821413516,0.025526037531809116,0.024940580544633426,2013-08-26,26.497888263843905,24,Thrash Metal
Metallica-Ride-the-Lightning,129,103,1.2524271844660195,3768,0.034235668789808917,0.029580043081077735,0.02727012316527283,2014-11-08,26.24617591325197,25,Thrash Metal
Down-NOLA,79,69,1.144927536231884,1763,0.04480998298355077,0.037158284907768166,0.03055473068564485,2015-06-14,25.132009801208135,26,Sludge Metal
Entombed-Left-Hand-Path,49,41,1.1951219512195121,799,0.06132665832290363,0.04832683835037764,0.03152788476698626,2014-04-07,23.80922007117798,27,Death Metal
Sodom-Agent-Orange,44,35,1.2571428571428571,564,0.07801418439716312,0.06075962453890782,0.038270075406733314,2015-07-27,22.41567747060241,28,Thrash Metal
Exodus-Fabulous-Disaster,36,36,1,389,0.09254498714652956,0.07023607565933099,0.03585447101489254,2013-07-22,22.0526107752068,29,Thrash Metal
Sepultura-Beneath-the-Remains,43,34,1.2647058823529411,520,0.08269230769230769,0.06424633438634485,0.04070303860833039,2014-12-09,21.834419923668197,30,Thrash Metal
Ulcerate-Everything-Is-Fire,98,78,1.2564102564102564,2706,0.03621581670362158,0.03060877783544986,0.028213375809017123,2016-03-08,21.654605060799668,31,Death Metal
Immortal-At-the-Heart-of-Winter,35,31,1.1290322580645162,321,0.10903426791277258,0.0826080777388434,0.04246098699204027,2015-08-14,21.370023175555072,32,Black Metal
Morbid-Angel-Covenant,42,34,1.2352941176470589,830,0.05060240963855422,0.039026273232315306,0.02512622415519235,2013-12-05,21.14523395119035,33,Death Metal
Meshuggah-Nothing-Re-release,33,33,1,353,0.09348441926345609,0.07003974303557914,0.03777671416341682,2016-07-14,19.664819900313862,34,Progressive Metal
Neurosis-Souls-at-Zero,35,27,1.2962962962962963,837,0.04181600955794504,0.03137126470069769,0.018415474180987684,2013-12-25,19.586248110513306,35,Post Metal
Bathory-Blood-Fire-Death,43,40,1.075,606,0.07095709570957096,0.05504484253298732,0.040910282542047496,2013-07-12,18.208368779519216,36,Black Metal
Possessed-Seven-Churches,34,34,1,632,0.05379746835443038,0.04025112029042835,0.025757278481297274,2014-05-24,17.721399999820125,37,Death Metal
Immolation-Dawn-of-Possession,33,29,1.1379310344827587,533,0.06191369606003752,0.04616514511678091,0.029938290056084442,2014-04-10,17.042891400106992,38,Death Metal
